text,language
"ఎవరో అనుకొంటుంటేను...నసిగింది సీత. ""ఈ విషయాలన్నీ నీకెందుకు? అవసరమైన విషయాలకి వెళ్ళకు"" కోపంగా అన్...",Telgu
ஈராக்கில்  ஆண்டுகள் கழித்து அழகிப்போட்டி,Tamil
ಬಿಡುಗಡೆಯಾಯಿತು ವಸಿಷ್ಠ ಅಭಿನಯದ 'ಕಾಲಚಕ್ರ' ಸಿನಿಮಾದ ಮೋಷನ್​ ಪೋಸ್ಟರ್​,Kannada
"    ""రాత్రి కేసు చాలా సీరియస్ గా ఉంది. ఇప్పుడు ప్రమాదం తప్పినట్ట్లే. అయినవాళ్ళు వచ్చి ఆదరిస్తే బాగుం...",Telgu
உலகம்,Tamil
ಲಾರ್ಡ್ಸ್​ ಟೆಸ್ಟ್​ನಲ್ಲಿ ಟೀಂ ಇಂಡಿಯಾದ ಸೋಲಿನ ಬಳಿಕ ರವಿ ಶಾಸ್ತ್ರಿಗೆ ಗೇಟ್​ ಪಾಸ್​?,Kannada
"    ""నిజం అని నువ్వూ మీ అమ్మా అనుకున్నారా?""     ""నేనేం అనుకోలేదు మా అమ్మ మాత్రం దీప ఒప్పుకుందేమో...",Telgu
இந்திய அளவில் ட்ரெண்ட் ஆன அஜித்தின் ‘தள்லே தில்லாலே’ ,Tamil
ಟೀಂ ಇಂಡಿಯಾಗೆ ಮರಳಿದ ಧೋನಿಯ ನಂಬಿಕಸ್ಥ ಆಲ್​ ರೌಂಡರ್ ಸುರೇಶ್ ರೈನಾ,Kannada
"    ""నా వెంట ఎందరో అమ్మాయిలు పడుతున్నారు. వాళ్ళలో అందమైన వాళ్ళూ ఉన్నారు. కానీ నాకెప్పుడు ఎవర్నీ చే...",Telgu
சினிமா,Tamil
ಐಶ್​-ಅಭಿ ಮುದ್ದುಮಗಳು ಆರಾಧ್ಯ ಹುಟ್ಟು ಹಬ್ಬದ ಅಪರೂಪದ ಚಿತ್ರಗಳು,Kannada
"    ""అదేమిటి చాలా ఆకలిగా వుందని ఇంతకుముందే అన్నారుగా?""     ""నా ఆకలి తీరిపోయింది.""     ""సరేలే ప...",Telgu
சொந்த செலவில் வாகன காப்பீடு எடுத்து கொடுத்த காவல் ஆய்வாளர்,Tamil
ನಡು ರಸ್ತೆಯಲ್ಲಿ ಬಾಟಲ್​ ಹಿಡಿದು ಕುಡಿದು ತೂರಾಡಿದ ಹುಚ್ಚ ವೆಂಕಟ್​,Kannada
"    ""ఆగి ఆగి మెట్లు ఎక్కితే ఆయాసం ఉండదు. ఆయాసం అనిపిస్తే కొద్దిసేపు కూర్చుని రెస్ట్ తీసుకోవడమే. అల...",Telgu
தமிழ்நாடு,Tamil
ಆನೆ ನಡೆದಿದ್ದೇ ದಾರಿ ತಾಕತ್ತಿದ್ದರೆ ಕಟ್ಟಾಕು': 'ಯಜಮಾನ'ನ ಮಾಸ್​ ಎಂಟ್ರಿ,Kannada
"         ""మనకెందుకూ?"" వాడి వెనకాల ఎంత పెద్ద ముఠా ఉందో అన్నాను"" కొద్దిగా తల వంచుకుని చెప్పాడు శ్రీధర్...",Telgu
பிறந்தநாளில் பட்ஜெட் தாக்கல் செய்தவர்,Tamil
ಐಪಿಎಲ್  ಮಿಂಚಲು ಸಿದ್ಧರಿದ್ದಾರೆ 6 ಕನ್ನಡಿಗರು,Kannada
"    ""ఇది పాంప్లెట్ అని నాకూ తెలుసు. ఈ రాతలకి అర్ధం ఏమిటా అని?...""     ""మీరు చదివారా!""     ""చదివా...",Telgu
இந்தியா,Tamil
ಲಕ್ಷಕ್ಕೆ ಹರಾಜಾಯ್ತು ನಟಿ ಶ್ರೀದೇವಿ ಫೇವರಿಟ್​ ಸೀರೆ!,Kannada
                                                  రాజీ             పట్టువదలని విక్రమార్కుడు చెట...,Telgu
“நானா? பாஜகவில் இணைந்துவிட்டேனா”  வரலட்சுமி விளக்கம்,Tamil
ಅಭಿಮಾನಿಗಳಿಗೆ ನಾನು ಕೊಟ್ಟ ನೋವಿಗೆ ಕ್ಷಮೆಯಷ್ಟೇ ಕೇಳಬಲ್ಲೆ: ಕಣ್ಣೀರು ಹಾಕಿದ ಸ್ಟೀವ್ ಸ್ಮಿತ್,Kannada
"    వారుణి ఏమీ అనలేకపోయింది.     ""కానీ వారుణీ! గులాబీకి ముళ్లుంటాయని తెలుసుకున్నాను"" కూలిపోతోన్న ...",Telgu
சினிமா,Tamil
ಐಡಿಯಾ ನೀಡಲಿದೆ  ಜಿಬಿ ಇಂಟರ್​ನೆಟ್​,Kannada
    అయితే ఆమె మాత్రం అతను లేనట్టే వుండేది. ఎప్పుడయినా కళ్ళు - కళ్ళు కలిసినప్పుడు చురచురా చూసేది తన న...,Telgu
இஸ்லாமிய மதபோதகர் ஜாகிர் நாயக் மீது  பக்க குற்றப்பத்திரிக்கை தாக்கல்,Tamil
